א,"unkn0102-1, jeru0492-5, jord0001-419",א,X,w-א,UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אב,beth0234-1,אָב,NOUN,w-אב,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,y,father,,,,,,,,,,,,,,,,,
אבא,"akld0023-3, jeru0492-11, jeru0492-2",אַבָּא,NOUN,w-אבא,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,y,father,,,,,,,,,,,,,,,,,
אבי,masa0389-1,אֲבִי,NOUN,w-אבי,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,y,father,,,,,,,,,,,,,,,,,
אדם,jeru0534-2,אָדָם,NOUN,w-אדם,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אדני,mger0150-10,אֲדֹנָי,PROPN,w-אדני,[none],y,Adonai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אהרן,,אַהֲרֹן,PROPN,w-אהרן,PROPERNAME MASCULINE SINGULAR UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Aharon,,,,,,,,,,,,,,,,,,,,,,,,,,,
אוהבין,jord0001-327,אוֹהֵב,VERB,w-אוהבין,PARTICIPLE MASCULINE PLURAL PERSON_ANY ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אוכסנטים,mari0004-8,אֻכִּסְנָטִים,PROPN,w-אוכסנטים,PROPERNAME MASCULINE SINGULAR UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Auxentios,,,,,,,,,,,,,,,,,,,,,,,,,,,
אומר,jord0001-346,אמר,VERB,w-אומר,MASCULINE SINGULAR PERSON_3 PAST UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אושעיה,masa0384-1,אוֹשַׁעְיָה,PROPN,w-אושעיה,PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Oshaiah,,,,,,,,,,,,,,,,,,,,,,,,,,,
אותגלות,jord0001-209,,,w-אותגלות,PROPERNAME MASCULINE SINGULAR UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,exile,,,
אז,jord0001-439,אָז,ADV,w-אז,ADVERB UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אזביא,"jeru0456-2, jeru0456-4",אזביא,PROPN,w-אזביא,PROPERNAME MASCULINE SINGULAR UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Azbaya,,,,,,,,,,,,,,,,,,,,,,,,,,,
אח,,אָח,NOUN,w-אח,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,y,brother,,,,,,,,,,,,,,,,,
אחד,jord0001-168,אֶחָד,X,w-אחד,NUMBER MASCULINE SINGULAR ABSOLUTE UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אחיא,akld0023-2,אָח,NOUN,w-אחיא,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,y,brother,,,,,,,,,,,,,,,,,
אחיה,beth0235-1,אָח,NOUN,w-אחיה,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,y,brother,,,,,,,,,,,,,,,,,
אטיו,beth0237-4,אטיו,PROPN,w-אטיו,PROPERNAME FEMININE SINGULAR UNSPECIFIED UNSPECIFIED,,,y,f,Jewish,Atio,,,,,,,,,,,,,,,,,,,,,,,,,,,
אטיון,beth0238-6,אטיון,PROPN,w-אטיון,PROPERNAME FEMININE SINGULAR UNSPECIFIED UNSPECIFIED,,,y,f,Jewish,Ation,,,,,,,,,,,,,,,,,,,,,,,,,,,
אי,jord0001-207,אִם,CCONJ,w-אי,CONJUNCTION UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איי,jeru0449-8,אִיֵּי,NOUN,w-איי,PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אין,"caes0500-1, caes0552b-1",אֵין,COP,w-אין,EXISTENTIAL UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איש,jord0001-199,אִישׁ,NOUN,w-איש,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אל,"jord0001-175, jord0001-342, jord0001-119",אֶל,PREP,w-אל,PREPOSITION UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלא,jeru0379-1,אֶלָּא,CCONJ,w-אלא,CONJUNCTION UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלה,jord0001-144,אֵלֶּה,PRON,w-אלה,PRONOUN MASCULINEFEMININE PLURAL PERSON_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלהי,"jord0001-166, jord0001-142, jord0001-86, jord0001-282, jord0001-52, jord0001-100",אֱלֹהִים,NOUN,w-אלהי,NOUN MASCULINE PLURAL ABSOLUTE UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_POSSESSIVE SUF_MASCULINEFEMININE SUF_SINGULAR SUF_PERSON_1,y,Elohim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלהים,"jord0001-212, jord0001-98, jord0001-164, jord0001-124, jord0001-140",אֱלֹהִים,NOUN,w-אלהים,NOUN MASCULINE PLURAL ABSOLUTE UNSPECIFIED UNSPECIFIED,y,Elohim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלהנו,unkn0103-2,אֱלֹהִים,NOUN,w-אלהנו,VERB MASCULINEFEMININE SINGULAR PERSON_1 FUTURE UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_ACCUSATIVE SUF_MASCULINE SUF_SINGULAR SUF_PERSON_3,y,Elohim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלו,beth0239-1,אֵלֶּה,PRON,w-אלו,PRONOUN MASCULINEFEMININE PLURAL PERSON_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלחנן,jeru0507-1,אֶלְחָנָן,PROPN,w-אלחנן,[none provided],,,y,m,Jewish,Elchanan,,,,,,,,,,,,,,,,,,,,,,,,,,,
אליעזר,"dabb0006-5, beth0248-9, masa0390-1",אֱלִיעֶזֶר,PROPN,w-אליעזר,PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Eliezar,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלכסנ,,אֲלֶכְּסַנְדְּרִיָה,PROPN,w-אלכסנ,PROPERNAME MASCULINE SINGULAR UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,y,Alexandria,https://pleiades.stoa.org/places/727070,,,,,,,,,,,,,,
אלכסנדרוס,jeru0342-1,אֲלֶכְּסַנְדְּרוֹס,PROPN,w-אלכסנדרוס,[none provided],,,y,m,Jewish,Alexander,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלעוד,,,,w-אלעוד,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלעזר,"jeru0528-1, jeru0394-1, masa0381-1, masa0470-3, jeru0387-1, masa0476-1, jeru0385-3, masa0469-1, masa0511-1, masa0510-1, jeru0303-5",אֶלְעָזָר,PROPN,w-אלעזר,PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Eleazar,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלעסה,jeru0423-1,אלעסה,PROPN,w-אלעסה,PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE NOUN FEMININE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Elasah,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלף,jeru0449-2,אֶלֶף,X,w-אלף,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלקסדרין,jeru0508-1,אלקסדרין,PROPN,w-אלקסדרין,PROPERNAME MASCULINE SINGULAR UNSPECIFIED UNSPECIFIED,,,y,f,Jewish,Alexandrine,,,,,,,,,,,,,,,,,,,,,,,,,,,
אם,"jeru0419-2, jord0001-377, jord0001-380",אֵם,NOUN,w-אם,CONJUNCTION UNSPECIFIED,,,,,,,,,,,,,,,y,mother,,,,,,,,,,,,,,,,,
אמא,akld0023-4,אִמָּא,NOUN,w-אמא,NOUN FEMININE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,y,mother,,,,,,,,,,,,,,,,,
אמות,"masa0585-5, masa0585-2",אַמָּה,NOUN,w-אמות,NOUN FEMININE PLURAL ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,y,length,,,,,,,
אמן,jeru0453-1,אָמֵן,INTJ,w-אמן,INTERJECTION UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,interjection,,,
אמר,"jord0001-334, jord0001-162, jord0001-83, jord0001-273, jord0001-40, jord0001-279, jord0001-50, jord0001-179",אָמַר,VERB,w-אמר,MASCULINE SINGULAR PERSON_3 PAST UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אמרי,,אמרי,PROPN,w-אמרי,[none provided],,,,,,,,,,,,,,,,,y,Beit Ummar,https://pleiades.stoa.org/places/69832953,,,,,,,,,,,,,,
אן,,אַן,PRON,w-אן,[none provided],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אנא,jeru0492-1,אַן,PRON,w-אנא,PRONOUN UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אנחנו,jord0001-317,אֲנִי,PRON,w-אנחנו,PRONOUN MASCULINEFEMININE PLURAL PERSON_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אני,"jord0001-387, jord0001-205, jord0001-78, jord0001-434",אֲנִי,PRON,w-אני,PRONOUN MASCULINEFEMININE SINGULAR PERSON_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אניאנה,beth0239-7,אניאנה,PROPN,w-אניאנה,VERB MASCULINEFEMININE SINGULAR PERSON_1 FUTURE UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_ACCUSATIVE SUF_FEMININE SUF_SINGULAR SUF_PERSON_3,,,y,m,Jewish,Aniana,,,,,,,,,,,,,,,,,,,,,,,,,,,
אניות,jeru0449-7,אֳנִיָּה,NOUN,w-אניות,NOUN FEMININE PLURAL ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,y,boat,,,,,
אנינא,beth0233-1,אֲנִינָא,PROPN,w-אנינא,ADJECTIVE MASCULINE SINGULAR ABSOLUTE UNSPECIFIED,,,y,m,Jewish,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אנכי,,אֲנִי,PRON,w-אנכי,PRONOUN MASCULINEFEMININE SINGULAR PERSON_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אנשים,jord0001-366,אִישׁ,NOUN,w-אנשים,NOUN MASCULINE PLURAL ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
