a,masa0941-20,a,X,w-a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ac,caes0009-2,ac,CCONJ,w-ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adiutoribus,caes0682-3,adiutor,NOUN,w-adiutoribus,,,,,,,,,,,,,,,,,,,,,,,,y,adiutor,,,,,,,,,
Aelio,"caes0353-1, caes0011-1, jeru0497-4",Aelius,PROPN,w-Aelio,,,,y,m,other,Aelius,,,,,,,,,,,,,,,,,,,,,,,,,,,
aemilia,nabl0001-7,aemilius,ADJ,w-aemilia,,,,y,m,other,Aemilius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aemilius,masa0750-1,Aemilius,PROPN,w-Aemilius,,,,y,m,other,Aemilius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africano,caes0107-10,Africanus,PROPN,w-Africano,,,,y,m,other,Africanus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africanus,caes0009-17,Africanus,PROPN,w-Africanus,,,,y,m,other,Africanus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africe,jeru0495-6,Africes,PROPN,w-Africe,,y,Africe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrippae,caes0032-6,Agrippa,PROPN,w-Agrippae,,,,y,m,other,Agrippa,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrippam,caes0003-3,Agrippa,PROPN,w-Agrippam,,,,y,m,other,Agrippa,,,,,,,,,,,,,,,,,,,,,,,,,,,
alae,tsha0001-2,aa,NOUN,w-alae,,,,,,,,,,,,y,ala,,,,,,,,,,,,,,,,,,,,,
alam,yotv0001-14,ala,NOUN,w-alam,,,,,,,,,,,,y,ala,,,,,,,,,,,,,,,,,,,,,
Alamannico,maay0001-18,Alamannicus,PROPN,w-Alamannico,,,,,,,,,,,,,,y,tribe,,,,,,,,,,,,,,,,,,,
alis,unkn0130-29,ala,NOUN,w-alis,,,,,,,,,,,,y,ala,,,,,,,,,,,,,,,,,,,,,
amico,caes0002-10,amicus,NOUN,w-amico,,,,,,,,,,,,,,,,y,friend,,,,,,,,,,,,,,,,,
amineum,"masa0797-2, masa0796-1",amineus,ADJ,w-amineum,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,food,,,,,
